id,question,tc1,tc2,tc3,tc4,tc5,company,difficulty,category,hint
100,Same Tree,"p=[1,2,3], q=[1,2,3], output=true","p=[1,2], q=[1,null,2], output=false","p=[1,2,1], q=[1,1,2], output=false","p=[1], q=[1], output=true","p=[], q=[], output=true","Google, Amazon","Easy","Tree, DFS","Compare trees recursively or iteratively."
101,Symmetric Tree,"root=[1,2,2,3,4,4,3], output=true","root=[1,2,2,null,3,null,3], output=false","root=[1], output=true","root=[1,2,2], output=true","root=[1,2,3], output=false","Google, Amazon","Easy","Tree, DFS","Check if left and right subtrees are mirror images."
102,Binary Tree Level Order Traversal,"root=[3,9,20,null,null,15,7], output=[[3],[9,20],[15,7]]","root=[1], output=[[1]]","root=[], output=[]","root=[1,2,3], output=[[1],[2,3]]","root=[1,null,2], output=[[1],[2]]","Google, Amazon, Microsoft","Medium","Tree, BFS","Use BFS to traverse level by level."
103,Binary Tree Zigzag Level Order Traversal,"root=[3,9,20,null,null,15,7], output=[[3],[20,9],[15,7]]","root=[1], output=[[1]]","root=[], output=[]","root=[1,2,3], output=[[1],[3,2]]","root=[1,null,2,3], output=[[1],[2],[3]]","Google, Amazon","Medium","Tree, BFS","Use BFS with a flag to reverse alternate levels."
104,Maximum Depth of Binary Tree,"root=[3,9,20,null,null,15,7], output=3","root=[1,null,2], output=2","root=[1], output=1","root=[], output=0","root=[1,2,3,4,null,null,5], output=3","Google, Amazon","Easy","Tree, DFS","Use DFS or BFS to find the maximum depth."
105,Construct Binary Tree from Preorder and Inorder Traversal,"preorder=[3,9,20,15,7], inorder=[9,3,15,20,7], output=[3,9,20,null,null,15,7]","preorder=[1], inorder=[1], output=[1]","preorder=[1,2], inorder=[2,1], output=[1,2]","preorder=[1,2,3], inorder=[2,1,3], output=[1,2,3]","preorder=[3,1,2], inorder=[1,3,2], output=[3,1,2]","Google, Amazon","Medium","Tree, DFS","Use preorder for root and inorder to split subtrees."
106,Construct Binary Tree from Inorder and Postorder Traversal,"inorder=[9,3,15,20,7], postorder=[9,15,7,20,3], output=[i3,9,20,null,null,15,7]","inorder=[1], postorder=[1], output=[1]","inorder=[2,1], postorder=[2,1], output=[1,2]","inorder=[2,1,3], postorder=[2,3,1], output=[1,2,3]","inorder=[1,3,2], postorder=[1,2,3], output=[3,1,2]","Google, Amazon","Medium","Tree, DFS","Use postorder for root and inorder to split subtrees."
107,Binary Tree Level Order Traversal II,"root=[3,9,20,null,null,15,7], output=[[15,7],[9,20],[3]]","root=[1], output=[[1]]","root=[], output=[]","root=[1,2,3], output=[[2,3],[1]]","root=[1,null,2], output=[[2],[1]]","Google, Amazon","Medium","Tree, BFS","Use BFS and reverse the result."
108,Convert Sorted Array to Binary Search Tree,"nums=[-10,-3,0,5,9], output=[0,-3,9,-10,null,5]","nums=[1,3], output=[3,1]","nums=[1], output=[1]","nums=[1,2,3], output=[2,1,3]","nums=[0], output=[0]","Google, Amazon","Easy","Tree, DFS","Use middle element as root to balance the BST."
109,Convert Sorted List to Binary Search Tree,"head=[-10,-3,0,5,9], output=[0,-3,9,-10,null,5]","head=[], output=[]","head=[0], output=[0]","head=[1,3], output=[3,1]","head=[1,2,3], output=[2,1,3]","Google, Amazon","Medium","Linked List, Tree","Find the middle of the list for the root."
