id,question,tc1,tc2,tc3,tc4,tc5,company,difficulty,category,hint
1,Two Sum,"nums=[2,7,11,15], target=9, output=[0,1]","nums=[3,2,4], target=6, output=[1,2]","nums=[3,3], target=6, output=[0,1]","nums=[1,2,3,4], target=7, output=[2,3]","nums=[0,4,3,0], target=0, output=[0,3]","Google, Amazon, Facebook, Microsoft, Apple","Easy","Array, Hash Table","Use a hash map to store numbers and their indices."
3,Longest Substring Without Repeating Characters,"s='abcabcbb', output=3","s='bbbbb', output=1","s='pwwkew', output=3","s='', output=0","s='dvdf', output=3","Google, Amazon, Facebook, Microsoft","Medium","String, Sliding Window","Use a sliding window with a hash set to track unique characters."
4,Median of Two Sorted Arrays,"nums1=[1,3], nums2=[2], output=2.0","nums1=[1,2], nums2=[3,4], output=2.5","nums1=[0,0], nums2=[0,0], output=0.0","nums1=[], nums2=[1], output=1.0","nums1=[2], nums2=[], output=2.0","Google, Amazon, Microsoft","Hard","Array, Binary Search, Divide and Conquer","Use binary search to partition arrays."
5,Longest Palindromic Substring,"s='babad', output='bab'","s='cbbd', output='bb'","s='a', output='a'","s='racecar', output='racecar'","s='aaaa', output='aaaa'","Google, Amazon, Facebook","Medium","String, Dynamic Programming","Expand around the center to find palindromes."
6,ZigZag Conversion,"s='PAYPALISHIRING', numRows=3, output='PAHNAPLSIIGYIR'","s='PAYPALISHIRING', numRows=4, output='PINALSIGYAHRPI'","s='A', numRows=1, output='A'","s='AB', numRows=2, output='AB'","s='ABC', numRows=3, output='ABC'","Google, Amazon","Medium","String","Simulate zigzag by tracking row indices."
8,String to Integer (atoi),"s='42', output=42","s='-42', output=-42","s='4193 with words', output=4193","s='words and 987', output=0","s='-91283472332', output=-2147483648","Google, Amazon, Microsoft","Medium","String","Handle signs, whitespace, and overflow."
11,Container With Most Water,"height=[1,8,6,2,5,4,8,3,7], output=49","height=[1,1], output=1","height=[4,3,2,1,4], output=16","height=[1,2,1], output=2","height=[2,3,4,5], output=6","Google, Amazon, Facebook","Medium","Array, Two Pointers","Use two pointers to maximize area."
15,3Sum,"nums=[-1,0,1,2,-1,-4], output=[[-1,-1,2],[-1,0,1]]","nums=[0,0,0], output=[[0,0,0]]","nums=[1,2,3,4], output=[]","nums=[-2,0,1,1], output=[[-2,0,2]]","nums=[-1,0,1], output=[[-1,0,1]]","Google, Amazon, Facebook","Medium","Array, Two Pointers","Sort and use two pointers to find triplets."
17,Letter Combinations of a Phone Number,"digits='23', output=['ad','ae','af','bd','be','bf','cd','ce','cf']","digits='', output=[]","digits='2', output=['a','b','c']","digits='7', output=['p','q','r','s']","digits='89', output=['tw','tx','ty','tz','uw','ux','uy','uz','vw','vx','vy','vz']","Google, Amazon","Medium","Backtracking","Use backtracking to generate all combinations."
19,Remove Nth Node From End of List,"head=[1,2,3,4,5], n=2, output=[1,2,3,5]","head=[1], n=1, output=[]","head=[1,2], n=1, output=[1]","head=[1,2,3], n=3, output=[2,3]","head=[1,2,3,4], n=1, output=[1,2,3]","Google, Amazon, Facebook","Medium","Linked List, Two Pointers","Use two pointers to find the nth node from the end."
20,Valid Parentheses,"s='()', output=true","s='()[]{}', output=true","s='(]', output=false","s='([)]', output=false","s='{[]}', output=true","Google, Amazon, Facebook","Easy","String, Stack","Use a stack to match opening and closing brackets."
21,Merge Two Sorted Lists,"list1=[1,2,4], list2=[1,3,4], output=[1,1,2,3,4,4]","list1=[], list2=[0], output=[0]","list1=[1], list2=[], output=[1]","list1=[1,2], list2=[3], output=[1,2,3]","list1=[2], list2=[1], output=[1,2]","Google, Amazon","Easy","Linked List","Merge lists by comparing node values."
22,Generate Parentheses,"n=3, output=['((()))','(()())','(())()','()(()','()()()']","n=1, output=['()']","n=2, output=['(())','()()']","n=4, output=(14 valid combinations)","n=0, output=[]","Google, Amazon","Medium","Backtracking","Use backtracking to generate valid parentheses."
23,Merge k Sorted Lists,"lists=[[1,4,5],[1,3,4],[2,6]], output=[1,1,2,3,4,4,5,6]","lists=[], output=[]","lists=[[]], output=[]","lists=[[1]], output=[1]","lists=[[1,2],[3,4]], output=[1,2,3,4]","Google, Amazon, Facebook, Microsoft","Hard","Linked List, Divide and Conquer, Heap","Use a min-heap to merge lists efficiently."
24,Swap Nodes in Pairs,"head=[1,2,3,4], output=[2,1,4,3]","head=[1], output=[1]","head=[1,2], output=[2,1]","head=[1,2,3], output=[2,1,3]","head=[1,2,3,4,5], output=[2,1,4,3,5]","Google, Amazon","Medium","Linked List","Swap adjacent nodes by adjusting pointers."
